category,key,page_route_en,page_route_ko,source_text_en,proposed_text_ko,notes,status,reviewer
global,brand.name,/,/ko/,Signal over Noise,Signal over Noise,Keep in English,Reviewed,Owner + External,
global,nav.services,all,all,Services,서비스,Preferred short nav label,Reviewed,Owner + External,
global,nav.process,all,all,Process,프로세스,Preferred short nav label,Reviewed,Owner + External,
global,nav.sample_work,all,all,Sample Work,샘플 작업,Preferred short nav label,Reviewed,Owner + External,
global,nav.workshops,all,all,Workshops,워크숍,Preferred short nav label,Reviewed,Owner + External,
global,nav.privacy,all,all,Privacy,개인정보처리방침,Preferred short nav label,Reviewed,Owner + External,
global,cta.free_diagnostic,all,all,Free Diagnostic,무료 진단,Primary conversion CTA,Reviewed,Owner + External,
global,cta.request_paid_support,all,all,Request Paid Support,유료 지원 요청,Primary conversion CTA,Reviewed,Owner + External,
global,cta.request_free_diagnostic,all,all,Request a Free Diagnostic,무료 프레젠테이션 진단 요청,Primary conversion CTA,Reviewed,Owner + External,
global,cta.get_presenter_toolkit,all,all,Get the Presenter Toolkit,발표자 툴킷 받기,Lead magnet CTA,Reviewed,Owner + External,
global,a11y.skip_to_main,all,all,Skip to main content,주요 콘텐츠로 건너뛰기,Accessibility-critical string,Reviewed,Owner + External,
global,minimal_header.context,toolkit|thanks,toolkit|thanks,Workshop follow-up,워크숍 후속 지원,Minimal chrome context label,Reviewed,Owner + External,
seo,title.home,/,/ko/,Signal over Noise | Presentation Support for High-Stakes Moments,Signal over Noise | 중요한 순간을 위한 프레젠테이션 지원,,Reviewed,Owner + External,
seo,description.home,/,/ko/,If you're presenting in English or across languages, Signal over Noise helps you sharpen the message, clean up the deck, rehearse the delivery, and walk in with a plan.,영어 또는 다국어 환경에서 발표할 때 Signal over Noise가 메시지 정리, 슬라이드 개선, 전달 리허설, 실행 가능한 준비 계획까지 함께 지원합니다.,,Reviewed,Owner + External,
seo,title.services,/services/,/ko/services/,Services | Signal over Noise,서비스 | Signal over Noise,,Reviewed,Owner + External,
seo,description.services,/services/,/ko/services/,Presentation support and pricing for individuals teams and Mallang partner classes.,개인 지원, 팀 워크숍, Mallang 파트너 클래스까지 한눈에 비교할 수 있는 프레젠테이션 지원 및 가격 안내입니다.,,Reviewed,Owner + External,
seo,title.proof,/proof/,/ko/proof/,Proof | Signal over Noise,사례 검증 | Signal over Noise,,Reviewed,Owner + External,
seo,description.proof,/proof/,/ko/proof/,See the sample diagnostic before-and-after slide work and founder background behind the Signal over Noise process.,샘플 진단, 전후 슬라이드 비교, 그리고 Signal over Noise를 이끄는 전문가 배경까지 직접 확인해 보세요.,,Reviewed,Owner + External,
seo,title.workshops,/workshops/,/ko/workshops/,Workshops | Signal over Noise,워크숍 | Signal over Noise,,Reviewed,Owner + External,
seo,description.workshops,/workshops/,/ko/workshops/,Explore workshops focused on script slides delivery and presentation standards for teams and cohorts.,팀과 코호트를 위한 스크립트, 슬라이드, 전달, 발표 표준 중심 워크숍을 확인해 보세요.,,Reviewed,Owner + External,
seo,title.get_started,/get-started/,/ko/get-started/,Request Paid Support | Signal over Noise,유료 지원 요청 | Signal over Noise,,Reviewed,Owner + External,
seo,description.get_started,/get-started/,/ko/get-started/,Tell Signal over Noise what kind of paid presentation support you need for a presentation script deck rehearsal coaching or workshop.,프레젠테이션, 대본, 덱, 리허설, 코칭, 워크숍 중 어떤 유료 지원이 필요한지 Signal over Noise에 알려주세요.,,Reviewed,Owner + External,
seo,title.privacy,/privacy/,/ko/privacy/,Privacy | Signal over Noise,개인정보처리방침 | Signal over Noise,,Reviewed,Owner + External,
